0.9662,0.16121,0.2012
0.99728,0.054897,0.051233
0.45192,0.084367,0.88806
0.52416,0.83652,0.15975
0.088769,0.95724,0.27535
0.98411,0.010101,0.17901
0.59571,0.037097,0.80235
0.62435,0.7686,0.13979
0.65072,0.67096,0.3746
0.25697,0.44376,0.86664
0.91708,0.34558,0.2064
0.76033,0.6141,0.22018
0.28171,0.16481,0.94524
0.77949,0.52817,0.34517
0.94091,0.024973,0.3394
0.63306,0.68844,0.36863
0.68842,0.38139,0.61694
0.96007,0.26678,0.10285
1.6003e-06,0.83128,0.55585
4.1071e-07,0.77207,0.63596
0.83945,0.5534,0.056144
8.038e-05,0.57206,0.82021
0.71881,0.13582,0.68219
0.21147,0.33586,0.91787
0.80227,0.62233,0.19721
7.9481e-07,0.59034,0.80716
0.66994,0.43935,0.59855
0.84698,0.5141,0.13918
0.0041749,0.81252,0.60353
0.67537,0.39695,0.62153
0.84342,0.26477,0.4696
0.76489,0.61175,0.20317
0.29282,0.15558,0.95288
0.45166,0.87755,0.18527
0.82336,0.53679,0.25136
2.67e-07,0.51925,0.85463
0.57797,0.28014,0.76647
0.74921,0.65378,0.10639
0.99439,0.10155,0.031276
0.4698,0.16184,0.86781
0.88665,0.45025,0.14342
0.32587,0.46556,0.82284
2.617e-08,0.50156,0.86686
0.96123,0.10385,0.258
0.5894,0.29566,0.75179
0.95786,0.036364,0.28508
0.27689,0.29091,0.91581
0.92636,0.17419,0.33581
0.7926,0.13653,0.59425
0.19902,0.40039,0.89447
