0.65012,-0.4564
0.25682,0.24229
0.082982,0.66966
1,1.1995e-06
0.65074,-0.45724
1,1.5298e-05
0.65105,-0.45757
1,2.6694e-05
0.64949,-0.4553
1,1.5664e-05
1,1.387e-05
0.085182,0.66991
0.25859,0.24226
0.45408,-0.1242
0.086356,0.67025
1,4.4089e-06
0.65246,-0.45826
0.45455,-0.12411
1,4.0001e-06
0.25981,0.24272
1,3.8085e-06
0.65314,-0.45813
1,4.8522e-05
0.26014,0.24292
1,3.6663e-06
1,1.5201e-05
0.25685,0.24228
1,1.6061e-05
0.65012,-0.4564
0.64865,-0.45342
0.25672,0.24231
1,2.0028e-05
1,7.3316e-05
0.45266,-0.12387
1,3.4785e-06
1,1.4231e-05
0.45192,-0.12334
0.64962,-0.45555
0.4526,-0.12384
1,8.8813e-05
1,8.5598e-05
0.64933,-0.45497
0.082407,0.66967
0.45264,-0.12387
1,1.8419e-05
1,2.3489e-05
1,1.9762e-05
1,7.1693e-05
0.45266,-0.12387
1,1.4721e-05
